match_id,map_name,team1_rounds_final,team2_rounds_final,team1_rounds,team2_rounds,team1_pred_raw,team2_pred_raw,winner_correct,score_exact
2382681,Nuke,8,13,7,13,3.5285972946185873,4.685048123968363,✔,✗
2382681,Mirage,8,13,13,11,3.5285972946185873,4.685048123968363,✗,✗
2382681,Inferno,8,13,13,10,3.5777299849511235,4.8411232221613565,✗,✗
2382682,Nuke,13,7,13,10,5.147420667695265,3.121088485522266,✔,✗
2382682,Mirage,13,8,10,13,2.603986364048066,0.9579949068740823,✗,✗
2382682,Ancient,13,8,13,11,2.603986364048066,0.9183855867516222,✔,✗
2382689,Mirage,13,8,16,12,2.9899788629956143,1.781242318553733,✗,✗
2382689,Dust2,8,13,13,4,0.6285433479871078,1.3663648467105896,✗,✗
2382690,Mirage,8,13,13,9,0.9383203407980664,2.368682405347613,✗,✗
2382690,Dust2,8,13,13,8,1.0931501266606822,1.8567510205595679,✗,✗
